TIME,DRIVE_MOTOR_PW,STEERING_SERVO_PW,GX,GY
1892,2028,2845,0,-40
1893,2028,2845,0,-40
1894,2028,2845,0,-40
1895,2028,2845,0,-40
1896,2028,2845,0,-40
1897,2028,2845,0,-40
1898,2028,2845,0,-40
1899,2028,2845,0,-40
1900,2028,2845,0,-40
1901,2028,2845,0,-20
1902,2028,2845,0,-20
1903,2028,2845,0,-20
1904,2028,2845,0,-20
1905,2028,2845,0,-20
1906,2028,2845,0,-20
1907,2028,2845,0,-20
1908,2028,2845,0,-20
1909,2028,2845,0,-20
1910,2028,2845,0,-20
1911,2028,2845,0,-32
1912,2028,2845,0,-32
1913,2028,2845,0,-32
1914,2028,2845,0,-32
1915,2028,2845,0,-32
1916,2028,2845,0,-32
1917,2028,2845,0,-32
1919,2028,2845,0,-32
1920,2028,2845,0,-32
1921,2765,2845,0,0
1922,2765,2845,0,0
1923,2765,2845,0,0
1924,2765,2845,0,0
1925,2765,2845,0,0
1926,2765,2845,0,0
1927,2765,2845,0,0
1928,2765,2845,0,0
1929,2765,2845,0,0
1930,2765,2845,0,0
1931,2028,2845,0,-40
1932,2028,2845,0,-40
1933,2028,2845,0,-40
1934,2028,2845,0,-40
1935,2028,2845,0,-40
1936,2028,2845,0,-40
1937,2028,2845,0,-40
1938,2028,2845,0,-40
1939,2028,2845,0,-40
1940,2028,2845,0,-40
1941,2028,2845,0,-36
1942,2028,2845,0,-36
1943,2028,2845,0,-36
1944,2028,2845,0,-36
1945,2028,2845,0,-36
1946,2028,2845,0,-36
1947,2028,2845,0,-36
1948,2028,2845,0,-36
1949,2028,2845,0,-36
1950,2028,2845,0,-36
1951,2765,2845,0,0
1952,2765,2845,0,0
1953,2765,2845,0,0
1954,2765,2845,0,0
1955,2765,2845,0,0
1956,2765,2845,0,0
1957,2765,2845,0,0
1958,2765,2845,0,0
1959,2765,2845,0,0
1960,2765,2845,0,0
1962,2028,2845,0,-56
1963,2028,2845,0,-56
1965,2028,2845,0,-56
1966,2028,2845,0,-56
1967,2028,2845,0,-56
1968,2028,2845,0,-56
1969,2028,2845,0,-56
1970,2028,2845,0,-56
1971,2028,2845,0,-32
1972,2028,2845,0,-32
1973,2028,2845,0,-32
1974,2028,2845,0,-32
1975,2028,2845,0,-32
1976,2028,2845,0,-32
1977,2028,2845,0,-32
1978,2028,2845,0,-32
1979,2028,2845,0,-32
1980,2028,2845,0,-32
1981,2765,2845,0,0
1982,2765,2845,0,0
1983,2765,2845,0,0
1984,2765,2845,0,0
1985,2765,2845,0,0
1986,2765,2845,0,0
1987,2765,2845,0,0
1988,2765,2845,0,0
1989,2765,2845,0,0
1990,2765,2845,0,0
1991,2028,2845,0,-64
1992,2028,2845,0,-64
1993,2028,2845,0,-64
1994,2028,2845,0,-64
1995,2028,2845,0,-64
1996,2028,2845,0,-64
1997,2028,2845,0,-64
1998,2028,2845,0,-64
1999,2028,2845,0,-64
2000,2028,2845,0,-64
2001,2028,2845,0,-52
